Client ID,IP,Name,Time,Latitude,Longitude
1813136810,209.52.88.110:18334,,20180330 17:27:36,49.24827566,-122.99920747
1813136810,209.52.88.110:18334,,20180330 17:27:37,49.24827133,-122.99920224
1813136810,209.52.88.110:18334,,20180330 17:27:38,49.24827748,-122.9991805
1813136810,209.52.88.110:18334,,20180330 17:27:39,49.2482802,-122.99917217
1813136810,209.52.88.110:18334,,20180330 17:27:40,49.24827994,-122.99918201
1813136810,209.52.88.110:18334,,20180330 17:27:41,49.24828284,-122.99918318
1813136810,209.52.88.110:18334,,20180330 17:27:41,49.247676,-122.9982278
1813136810,209.52.88.110:18334,,20180330 17:27:42,49.24828294,-122.99918332
1813136810,209.52.88.110:18334,,20180330 17:27:43,49.24828377,-122.9991892
1813136810,209.52.88.110:18334,,20180330 17:27:44,49.24828319,-122.99920259
1813136810,209.52.88.110:18334,,20180330 17:27:45,49.24828319,-122.9991966
1813136810,209.52.88.110:18334,,20180330 17:27:46,49.2482826,-122.99919475
1813136810,209.52.88.110:18334,,20180330 17:27:47,49.24828233,-122.99919092
1813136810,209.52.88.110:18334,,20180330 17:27:48,49.24828281,-122.99918635
1813136810,209.52.88.110:18334,,20180330 17:27:49,49.24828281,-122.99918643
1813136810,209.52.88.110:18334,,20180330 17:27:50,49.24828309,-122.99918631
1813136810,209.52.88.110:18334,,20180330 17:27:51,49.248283,-122.99918645
1813136810,209.52.88.110:18334,,20180330 17:27:52,49.248283,-122.99918642
1813136810,209.52.88.110:18334,,20180330 17:27:53,49.24828304,-122.99918607
1813136810,209.52.88.110:18334,,20180330 17:27:54,49.248283,-122.99918608
1813136810,209.52.88.110:18334,,20180330 17:27:55,49.24828302,-122.99918601
1813136810,209.52.88.110:18334,,20180330 17:27:56,49.24828304,-122.99918602
1813136810,209.52.88.110:18334,,20180330 17:27:57,49.24828304,-122.999186
1813136810,209.52.88.110:18334,,20180330 17:27:58,49.24828304,-122.99918592
1813136810,209.52.88.110:18334,,20180330 17:27:59,49.24828304,-122.99918596
1813136810,209.52.88.110:18334,,20180330 17:28:00,49.24828302,-122.99918599
1813136810,209.52.88.110:18334,,20180330 17:28:01,49.24828302,-122.99918601
1813136810,209.52.88.110:18334,,20180330 17:28:01,49.2488463,-123.0000779
1813136810,209.52.88.110:18334,,20180330 17:28:02,49.24828302,-122.99918602
1813136810,209.52.88.110:18334,,20180330 17:28:03,49.24828302,-122.99918601
1813136810,209.52.88.110:18334,,20180330 17:28:04,49.24828302,-122.99918605
1813136810,209.52.88.110:18334,,20180330 17:28:05,49.24828302,-122.99918599
1813136810,209.52.88.110:18334,,20180330 17:28:06,49.24828302,-122.9991861
1813136810,209.52.88.110:18334,,20180330 17:28:07,49.248283,-122.9991863
1813136810,209.52.88.110:18334,,20180330 17:28:08,49.24828298,-122.99918632
1813136810,209.52.88.110:18334,,20180330 17:28:09,49.24828297,-122.9991864
1813136810,209.52.88.110:18334,,20180330 17:28:10,49.24828293,-122.99918666
1813136810,209.52.88.110:18334,,20180330 17:28:11,49.24828293,-122.99918666
1813136810,209.52.88.110:18334,,20180330 17:28:12,49.24828291,-122.99918675
1813136810,209.52.88.110:18334,,20180330 17:28:13,49.24828291,-122.99918667
1813136810,209.52.88.110:18334,,20180330 17:28:14,49.24828289,-122.99918673
1813136810,209.52.88.110:18334,,20180330 17:28:15,49.24828288,-122.99918674
1813136810,209.52.88.110:18334,,20180330 17:28:16,49.24828288,-122.99918669
1813136810,209.52.88.110:18334,,20180330 17:28:17,49.24828287,-122.99918662
1813136810,209.52.88.110:18334,,20180330 17:28:18,49.24828285,-122.99918661
1813136810,209.52.88.110:18334,,20180330 17:28:19,49.24828283,-122.99918664
1813136810,209.52.88.110:18334,,20180330 17:28:20,49.24828281,-122.99918665
1813136810,209.52.88.110:18334,,20180330 17:28:21,49.2482828,-122.99918666
